Sympomts,label
"I often wake up with severe cramps and muscle spasms in my legs that last several minutes. During the day, my muscles sometimes twitch uncontrollably, even when I’m at rest. It makes me feel uneasy because I can’t predict when it will happen",Neurologist
"I’ve noticed streaks of blood in my sputum for the past few days. The coughing is not severe, but seeing blood has made me very worried. I’ve never had this symptom before.”",Pulmonologist
"There are times when I feel sudden sharp pain on one side of my pelvis, especially around the middle of my cycle. The pain lasts for a few hours and then goes away. It’s been happening regularly every month",Gynecologist
"Over the last few weeks, I’ve had a strange sensation of vertigo. The room feels like it’s spinning whenever I change position quickly, like getting out of bed. It makes me nauseous and sometimes I have to lie back down until it passes.",Neurologist
,
,
,
,
"Sometimes I feel like my memory just goes blank. For example, I’ll forget what I was about to do or why I entered a room. It happens a few times a day and makes me worried that it’s not just normal forgetfulness",Neurologist
,
"Recently, I’ve been experiencing bleeding after sexual intercourse. It doesn’t happen every time, but it has occurred three times this month. The bleeding is not heavy, but it still scares me since I’ve never experienced this before.",Gynecologist
"I’ve been experiencing episodes of double vision where I see two images overlapping. It comes and goes, especially when I’m tired. Along with that, I sometimes feel pain behind my eyes, which makes reading and using the computer very difficult",Neurologist
,
"Whenever I laugh hard or take a deep breath, I start coughing uncontrollably. The cough feels deep in my chest, and sometimes it takes several minutes before I can stop.”",Pulmonologist
"I’ve had moments where my whole body suddenly feels weak, and I nearly collapse. These spells last only a minute or two, then I slowly recover. They are unpredictable, and I’m afraid it could happen while I’m outside or alone.",Neurologist
,
"For the past month, I’ve noticed an unusual vaginal discharge. It has a yellowish color and a strong odor. Sometimes it’s accompanied by itching and irritation around the vaginal area, which makes me very uncomfortable",Gynecologist
here are times when I feel sudden electric shock-like sensations running down my spine into my legs whenever I bend my neck. It’s very uncomfortable and leaves me feeling stiff afterward. This symptom has been getting more frequent over the past month,Neurologist
,
,
"I sometimes have very heavy bleeding that lasts more than 10 days. I have to change pads every hour on the first two days. Along with that, I feel very weak and dizzy during my periods.",Gynecologist
I often feel a sharp pain in my chest whenever I take a deep breath or cough. The pain is mostly on the right side and sometimes radiates to my shoulder. It has been persistent for almost a week.”,Pulmonologist
,
"My vaginal discharge has increased recently. It’s watery and constant, and I often feel the need to change undergarments. Although there is no bad smell, the excessive discharge is worrying me.",Gynecologist
,
"I’ve noticed brown spotting almost every day for the past two weeks, even though my period ended already. It’s not heavy bleeding, but it’s persistent and making me anxious about whether something serious is going on",Gynecologist
,
"For the last few days, I’ve been experiencing heaviness in my chest, especially when lying down. It feels like something is pressing on my chest, making it difficult to breathe deeply",Pulmonologist
"My husband and I have been trying to conceive for over a year, but I haven’t been able to get pregnant. My cycles are irregular, and I sometimes skip months. I’m starting to feel very anxious about my fertility.",Gynecologist
"Recently, I’ve been having severe mood swings, hot flashes, and night sweats. My periods have also become irregular. I feel this might be related to menopause, but I’m not sure because I’m still in my early 40s.",Gynecologist
,
,
"I’ve noticed excessive hair growth on my face and chest along with sudden weight gain around my stomach. My periods have become irregular, and I often feel very tired. I’m worried this could be a hormonal imbalance",Gynecologist
"Sometimes when I breathe, I feel a rattling sensation inside my chest. It almost feels like fluid moving around. This is new to me, and it’s making me uncomfortable and worried.",Pulmonologist
"Sometimes, I feel a sharp pain in my lower abdomen during ovulation. Along with that, I also experience bloating and breast tenderness. It has become more noticeable in the last six months.”",Gynecologist
"Whenever the weather gets cold, I start having chest tightness along with difficulty breathing. It feels like my lungs can’t handle the air, and I have to wrap up completely to avoid getting worse.",Pulmonologist
"My breasts often feel swollen and painful, especially a week before my periods. The discomfort sometimes lasts even after my periods are over. I’ve also noticed occasional discharge from one breast, which is making me very concerned.",Gynecologist
,
,
"I’ve been having repeated chest infections every few months. Each time I get fever, cough, and difficulty breathing. Even after completing antibiotics, the infections seem to come back again.”",Pulmonologist
"I often feel sudden shortness of breath when I’m exposed to dust or smoke. Sometimes I also start coughing uncontrollably in such situations. It feels like my chest closes up, and I struggle to breathe normally.”",Pulmonologist
,
,
,
,
"For the last year, I’ve been having episodes where my breathing suddenly becomes very noisy and wheezy. Inhalers help for some time, but the problem keeps returning. I think it might be asthma, but I’m not sure.”",Pulmonologist
,
,
,
,
,
"“I always feel breathless during spring when there’s pollen in the air. Along with that, I get watery eyes, sneezing, and coughing. It’s so bad that I can’t go outside comfortably during that season.”",Pulmonologist
,
,
,
,
"“I feel breathless almost all the time now, even while sitting. I also have swelling in my ankles, and I feel extremely tired after doing the smallest activities. I’m worried it could be something serious with my lungs or heart.”",Pulmonologist
,
,
"“I’ve been a smoker for 15 years, and now I notice that I get breathless very easily. I also have a morning cough that produces a lot of phlegm. I’m concerned that my smoking might have damaged my lungs.”",Pulmonologist

